Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.6170585103985993,0.5838522490236968,0.08514202288020555,1.2965213763548922,-0.13846068142892803,1.0437915933605324,-0.998853465729617,1.6847856001345731
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.6132153257006898,0.6175966221321358,0.0727039987541208,2.242757623865809,-0.029803595258217325,0.43449195298855836,-0.998853465729617,1.6106970555124787
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.6093721410027804,0.6505078008428352,0.06026597462803604,2.3747905886347747,0.05127130749992852,-0.17480768738341507,-0.998853465729617,1.5330804849559987
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.6055289563048708,0.9442088260459146,0.04782795050195129,2.176741141481327,0.0621370161169995,-0.29666761545780995,-0.998853465729617,1.4589919403339044
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.6016857716069614,0.46428885294811667,0.014659886165725283,2.0887191649686834,0.09306249448866338,-0.4185275435322049,-0.998853465729617,1.38490339571181
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5978425869090519,0.4388764238170701,-0.030946202296585474,2.1987466356094876,0.10727149806483308,-0.17480768738341507,-0.998853465729617,1.3108148510897155
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5939994022111424,0.4284614938453297,-0.05582225054875498,2.5508345416600613,0.19837628570027507,-0.05294775930902017,-0.998853465729617,1.2331982805332355
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5901562175132329,0.508864753227166,-0.07655229075889623,2.748883988813509,0.1967046382207257,-0.29666761545780995,-0.998853465729617,1.0850211912890466
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5863130328153234,0.4313776742374173,-0.08069829880092448,2.682867506429026,0.20673452309802218,-0.4185275435322049,-0.998853465729617,1.0109326466669526
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.582469848117414,0.5605228058869982,-0.11801237117917875,2.836905965326152,0.24685406260720766,-0.29666761545780995,-0.998853465729617,0.9333160761104726
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5786266634195044,0.528028224375168,-0.1802024918096025,2.3747905886347747,0.10559985058528372,-0.17480768738341507,-0.998853465729617,0.8592275314883782
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.574783478721595,0.4797029493062927,-0.25068462852408274,2.0447081767123616,-0.008908001763849892,-0.05294775930902017,-0.998853465729617,0.7851389868662837
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.5709402940236855,0.3513910120544509,-0.3418968054487038,1.6045982941491443,-0.04484842257416185,-0.29666761545780995,-0.998853465729617,0.7075224163098037
-0.5611836673839612,A1 SH,SHRIMPLIN,-0.567097109325776,0.8325607767488578,-0.44140099845738184,2.0447081767123616,0.3655410336552145,-0.4185275435322049,-0.998853465729617,0.6334338716877093
-0.9595483414622452,A1 SH,SHRIMPLIN,-0.5632539246278665,1.1108477055937611,-0.5160291432138904,2.2647631179939705,0.6371837490819912,-0.6622473996809941,-0.998853465729617,0.5593453270656151
-0.9595483414622452,A1 SH,SHRIMPLIN,-0.559410739929957,0.61301405294457,-0.7316215613993592,1.7146257647899485,0.5377207240488023,-0.784107327755389,-0.998853465729617,0.40764021188704075
-0.9595483414622452,A1 SH,SHRIMPLIN,-0.5555675552320475,0.24432553194495918,-0.8518557946181784,1.2084993998422486,0.39730233576665297,-0.784107327755389,-0.998853465729617,0.3335516672649463
-0.9595483414622452,A1 SH,SHRIMPLIN,-0.551724370534138,0.00436554539606023,-0.9347759554587435,1.0544609409451227,0.40900386812349876,-0.905967255829784,-0.998853465729617,0.25946312264285176
-0.9595483414622452,A1 SH,SHRIMPLIN,-0.5478811858362286,0.0181132529587575,-1.0052580921732235,0.7023730348945487,0.44243681771448684,-1.0278271839041788,-0.998853465729617,0.18184655208637185
